Wall time,Step,Value
1695312012,12800,-0.623360574
1695312474,25600,-0.613782108
1695312982,38400,-0.605656266
1695313474,51200,-0.602793276
1695313954,64000,-0.608506918
1695314466,76800,-0.621951342
1695314983,89600,-0.597541988
1695315541,102400,-0.575039148
1695316181,115200,-0.576625228
1695316674,128000,-0.592000186
1695317167,140800,-0.550042152
1695317656,153600,-0.567043424
1695318126,166400,-0.559891284
1695318597,179200,-0.559788108
1695319089,192000,-0.564216316
1695319571,204800,-0.535084009
1695320013,217600,-0.537577152
1695320483,230400,-0.516109765
1695320921,243200,-0.480691284
1695321355,256000,-0.523259699
1695321756,268800,-0.501664639
1695322162,281600,-0.53829354
1695322561,294400,-0.438274652
1695322961,307200,-0.43477869
1695323374,320000,-0.496406764
1695323772,332800,-0.425046891
1695324164,345600,-0.481238872
1695324561,358400,-0.345425069
1695324982,371200,-0.456014633
1695325460,384000,-0.401840061
1695325877,396800,-0.429987252
1695326287,409600,-0.467301518
1695326686,422400,-0.474059433
1695327080,435200,-0.420327604
1695327464,448000,-0.460754275
1695327851,460800,-0.408886462
1695328240,473600,-0.444812268
1695328630,486400,-0.452289075
1695329015,499200,-0.434289902
1695329386,512000,-0.404449254
1695329778,524800,-0.397792041
1695330167,537600,-0.427861512
1695330558,550400,-0.409264952
1695330952,563200,-0.442338914
1695331337,576000,-0.419102639
1695331714,588800,-0.387413889
1695332088,601600,-0.35141772
1695332465,614400,-0.349134922
1695332846,627200,-0.385435939
1695333229,640000,-0.396187961
1695333617,652800,-0.31847772
1695333986,665600,-0.248755753
1695334393,678400,-0.340191066
1695334839,691200,-0.303737998
1695335279,704000,-0.298206806
1695335684,716800,-0.34111619
1695336073,729600,-0.21666953
1695336482,742400,-0.244204104
1695336883,755200,-0.244461745
1695337287,768000,-0.275251299
1695337715,780800,-0.22711131
1695338190,793600,-0.347614408
1695338645,806400,-0.347250909
1695339078,819200,-0.188486114
1695339507,832000,-0.171747804
1695339906,844800,-0.208259627
1695340317,857600,-0.203549415
1695340730,870400,-0.192442864
1695341121,883200,-0.235067636
1695341507,896000,-0.173514694
1695341896,908800,-0.242305264
1695342293,921600,-0.157864273
1695342682,934400,-0.197244704
1695343086,947200,-0.106551871
1695343507,960000,-0.079311572
1695343907,972800,-0.158731237
1695344311,985600,-0.047806051
1695344734,998400,0.00351151
1695345161,1011200,-0.09851025
1695345597,1024000,-0.095815763
1695346013,1036800,-0.06631881
1695346406,1049600,0.06211694
1695346794,1062400,0.00199668
1695347171,1075200,0.062533922
1695347540,1088000,0.052217569
1695347920,1100800,-0.107622817
1695348304,1113600,-0.143537566
1695348678,1126400,0.00464629
1695349054,1139200,0.121194318
1695349423,1152000,0.00096837
1695349797,1164800,0.065269932
1695350167,1177600,0.177286997
1695350539,1190400,0.337636948
1695350912,1203200,0.096646577
1695351283,1216000,0.125390172
1695351650,1228800,0.153002143
1695352029,1241600,0.222596243
1695352411,1254400,0.148673326
1695352792,1267200,0.256436765
1695353184,1280000,0.223672211
1695353593,1292800,0.219032258
1695354013,1305600,0.208809018
1695354444,1318400,0.357728899
1695354847,1331200,0.247173786
1695355277,1344000,0.404174209
1695355711,1356800,0.30886367
1695356159,1369600,0.478561044
1695356617,1382400,0.370247662
1695357060,1395200,0.496405154
1695357492,1408000,0.410680264
1695357933,1420800,0.386708409
1695358392,1433600,0.290975094
1695358824,1446400,0.416962922
1695359265,1459200,0.685787737
1695359668,1472000,0.449267209
1695360051,1484800,0.26349628
1695360451,1497600,0.330069691
1695360870,1510400,0.147859693
1695361249,1523200,0.65205574
1695361634,1536000,0.718500912
1695362008,1548800,0.394591957
1695362388,1561600,0.62723577
1695362770,1574400,0.173989981
1695363154,1587200,0.585675061
1695363530,1600000,0.606346846
1695363901,1612800,0.713208318
1695364271,1625600,0.691031396
1695364646,1638400,0.588975668
1695365014,1651200,0.685637116
1695365389,1664000,0.701042175
1695365751,1676800,0.754294693
1695366133,1689600,0.672110021
1695366532,1702400,0.787239373
1695366912,1715200,0.803986967
1695367285,1728000,0.571552098
1695367565,1740800,0.974750996
1695367843,1753600,0.831357062
1695368119,1766400,0.491668701
1695368393,1779200,0.753825903
1695368665,1792000,0.883461893
1695368938,1804800,0.624112189
1695369210,1817600,0.682340443
1695369481,1830400,0.90776962
1695369759,1843200,0.997505724
1695370035,1856000,0.883811951
1695370318,1868800,0.790412307
1695370597,1881600,0.60613215
1695370866,1894400,0.860632837
1695371149,1907200,0.830186903
1695371433,1920000,1.17211628
1695371720,1932800,1.117034674
1695372013,1945600,0.9985587
1695372313,1958400,0.964288592
1695372608,1971200,0.982299745
1695372899,1984000,1.132223248
1695373192,1996800,1.15017736
1695373481,2009600,0.998678684
1695373777,2022400,1.156219244
1695374076,2035200,1.239675641
1695374373,2048000,0.938734531
1695374686,2060800,1.164486408
1695374986,2073600,0.938836098
1695375282,2086400,1.121323943
1695375582,2099200,1.211064458
1695375881,2112000,1.169011474
1695376178,2124800,1.165544629
1695376467,2137600,1.310170174
1695376748,2150400,1.160695553
1695377033,2163200,1.350344658
1695377305,2176000,1.073542356
1695377576,2188800,1.357167363
1695377846,2201600,1.344395876
1695378118,2214400,1.372134924
1695378388,2227200,1.22860384
1695378651,2240000,1.223901391
1695378921,2252800,1.494143486
1695379186,2265600,1.241935849
1695379457,2278400,1.75615418
1695379731,2291200,1.741473436
1695379989,2304000,1.503638625
1695380258,2316800,1.419999242
1695380528,2329600,1.607637525
1695380790,2342400,1.395119071
1695381051,2355200,1.582455397
1695381318,2368000,1.699845433
1695381575,2380800,1.506263614
1695381840,2393600,1.542572379
1695382105,2406400,1.295147181
1695382365,2419200,1.410058022
1695382629,2432000,1.477184892
1695382887,2444800,1.314319372
1695383144,2457600,1.486230731
1695383403,2470400,1.534331918
1695383659,2483200,1.906154275
1695383926,2496000,1.838023663
1695384185,2508800,1.694226265
1695384445,2521600,1.567622781
1695384707,2534400,1.731949091
1695384965,2547200,1.928385854
1695385225,2560000,1.877586603
1695385488,2572800,1.849822521
1695385750,2585600,2.088540077
1695386013,2598400,1.677801609
1695386278,2611200,1.757229805
1695386543,2624000,1.622147441
1695386802,2636800,1.9453578
1695387070,2649600,1.793671489
1695387338,2662400,1.641066074
1695387605,2675200,1.678416252
1695387879,2688000,1.711305618
1695388144,2700800,1.668905497
1695388415,2713600,1.598711491
1695388678,2726400,1.725104094
1695388949,2739200,1.853102803
1695389219,2752000,1.667261004
1695389479,2764800,2.245272398
1695389740,2777600,1.904071331
1695390007,2790400,2.023096561
1695390276,2803200,1.987054348
1695390548,2816000,1.767635703
1695390817,2828800,1.876065731
1695391088,2841600,2.094775677
1695391360,2854400,2.019344568
1695391641,2867200,2.000816107
1695391915,2880000,1.813023448
1695392176,2892800,1.778288007
1695392438,2905600,2.129359961
1695392699,2918400,2.098894596
1695392957,2931200,2.323737383
1695393225,2944000,2.053106785
1695393487,2956800,2.072384119
1695393753,2969600,2.28515029
1695394025,2982400,2.239836931
1695394297,2995200,2.441506863
1695394560,3008000,2.533056498
1695394815,3020800,2.573619604
1695395079,3033600,2.500556707
1695395342,3046400,1.881095052
1695395602,3059200,2.2371521
1695395862,3072000,2.616740227
1695396123,3084800,2.6269629
1695396379,3097600,2.583139896
1695396634,3110400,2.493837357
1695396885,3123200,2.535863638
1695397141,3136000,2.619668722
1695397420,3148800,2.743605614
1695397708,3161600,2.781454325
1695398009,3174400,2.404242516
1695398290,3187200,2.442689657
1695398562,3200000,2.604214191
1695398940,3212800,2.803118229
1695399361,3225600,2.733739853
1695399735,3238400,2.406787634
1695400091,3251200,2.586273193
1695400448,3264000,2.663110971
1695400795,3276800,2.753382921
1695401149,3289600,2.538402081
1695401501,3302400,2.65288806
1695401855,3315200,2.579238415
1695402229,3328000,2.6537292
1695402605,3340800,2.694485188
1695402984,3353600,2.785614729
1695403352,3366400,2.569559574
1695403716,3379200,2.747688532
1695404082,3392000,2.611701012
1695404437,3404800,2.691769838
1695404804,3417600,2.771972656
1695405170,3430400,2.781582355
1695405531,3443200,3.073768854
