Wall time,Step,Value
1695780055.1848414,12800,-0.6081503629684448
1695780716.6498115,25600,-0.6154966354370117
1695781386.9010954,38400,-0.6283465027809143
1695782057.4557526,51200,-0.6497141122817993
1695782788.9229167,64000,-0.6187992691993713
1695783482.6955175,76800,-0.6174505352973938
1695784180.5259702,89600,-0.605942964553833
1695784852.7687354,102400,-0.6017342805862427
1695785546.6049788,115200,-0.5840445160865784
1695786220.9526446,128000,-0.5844905972480774
1695786913.0440736,140800,-0.5682553052902222
1695787606.412986,153600,-0.5842468738555908
1695788292.244738,166400,-0.5717484354972839
1695788953.9523497,179200,-0.5535951852798462
1695789556.0933917,192000,-0.5517755746841431
1695790176.913667,204800,-0.5481923222541809
1695790827.9397893,217600,-0.5234010219573975
1695791470.3546772,230400,-0.5006374716758728
1695792064.0327406,243200,-0.45830151438713074
1695792620.4391592,256000,-0.5004225373268127
1695793183.31815,268800,-0.49277031421661377
1695793743.2012596,281600,-0.48656973242759705
1695794327.0798223,294400,-0.46505486965179443
1695794917.8774002,307200,-0.47011569142341614
1695795509.7017188,320000,-0.5098400115966797
1695796067.3246906,332800,-0.45027557015419006
1695796636.5877395,345600,-0.40996670722961426
1695797165.0084558,358400,-0.44919365644454956
1695797729.0688186,371200,-0.5031362771987915
1695798295.901582,384000,-0.3959839642047882
1695798857.1409328,396800,-0.43277856707572937
1695799411.4188297,409600,-0.4790228605270386
1695799988.1793008,422400,-0.42609703540802
1695800530.6239266,435200,-0.35400962829589844
1695801072.6991022,448000,-0.3805287778377533
1695801641.9251137,460800,-0.3893078863620758
1695802201.890753,473600,-0.4307885766029358
1695802742.8075285,486400,-0.42449048161506653
1695803298.0189545,499200,-0.4739542007446289
1695803838.4253523,512000,-0.42509713768959045
1695804365.5123255,524800,-0.37929266691207886
1695804921.9731603,537600,-0.38524574041366577
1695805471.4525657,550400,-0.39885473251342773
1695806022.2696426,563200,-0.4034844636917114
1695806575.5185258,576000,-0.361823171377182
1695807115.4702983,588800,-0.35725075006484985
1695807645.0837157,601600,-0.33959829807281494
1695808188.9212472,614400,-0.36103546619415283
1695808735.38956,627200,-0.3708944022655487
1695809318.634537,640000,-0.39175185561180115
1695809892.0636811,652800,-0.3664449453353882
1695810430.038136,665600,-0.30021387338638306
1695810968.031532,678400,-0.3139939606189728
1695811511.0709326,691200,-0.38749125599861145
1695812097.8806176,704000,-0.3775273263454437
1695812660.1334236,716800,-0.34028902649879456
1695813185.7150478,729600,-0.29550647735595703
1695813719.4387794,742400,-0.34681013226509094
1695814246.3192506,755200,-0.3029767572879791
1695814770.4466455,768000,-0.28049027919769287
1695815314.675567,780800,-0.28332605957984924
1695815843.5002253,793600,-0.24437381327152252
1695816373.3384438,806400,-0.33140936493873596
1695816921.319959,819200,-0.194627046585083
1695817430.3528507,832000,-0.2641295790672302
1695817938.197113,844800,-0.3035188317298889
1695818474.2627351,857600,-0.20519742369651794
1695819009.890487,870400,-0.2589435279369354
1695819548.922285,883200,-0.25721216201782227
1695820085.9769526,896000,-0.2484140545129776
1695820619.0552747,908800,-0.22748138010501862
1695821123.7303913,921600,-0.258364737033844
1695821633.8603623,934400,-0.27961620688438416
1695822171.177869,947200,-0.2025759369134903
1695822676.1552448,960000,-0.15640166401863098
1695823209.4523132,972800,-0.18719691038131714
1695823755.0088353,985600,-0.26629313826560974
1695824289.6656196,998400,-0.24224792420864105
1695824825.671488,1011200,-0.1559680998325348
1695825334.7001984,1024000,-0.3258724808692932
1695825884.9982982,1036800,-0.2071114033460617
1695826457.5353186,1049600,-0.08298400044441223
1695827008.2103758,1062400,-0.08986876904964447
1695827558.4673815,1075200,-0.13451747596263885
1695828100.1865435,1088000,-0.14907802641391754
1695828637.3370595,1100800,-0.1406022161245346
1695829144.6386907,1113600,-0.11657112836837769
1695829662.7979884,1126400,-0.048369139432907104
1695830161.1521313,1139200,-0.20596611499786377
1695830702.2924824,1152000,-0.07550714910030365
1695831226.1049812,1164800,0.03515274077653885
1695831750.1301048,1177600,-0.051509931683540344
1695832298.4236817,1190400,-0.0017259300220757723
1695832803.1521,1203200,-0.07518316805362701
1695833297.9422698,1216000,0.06950587779283524
1695833798.81508,1228800,0.100987508893013
1695834324.0830648,1241600,-0.001269000000320375
1695834903.475779,1254400,-0.03460700064897537
1695835438.685582,1267200,-0.09039942175149918
1695835967.193269,1280000,0.05472340062260628
1695836465.2920237,1292800,0.11866913735866547
1695836963.7901442,1305600,0.041007738560438156
1695837502.6587331,1318400,0.06375233083963394
1695838036.7202537,1331200,0.2040313333272934
1695838592.0399919,1344000,0.15051265060901642
1695839137.1233346,1356800,0.15411755442619324
1695839712.6296444,1369600,0.23075562715530396
1695840284.119189,1382400,0.0444452203810215
1695840871.4021316,1395200,0.1989588439464569
1695841398.6162512,1408000,0.17817452549934387
1695841977.7263722,1420800,0.14041505753993988
1695842516.5540133,1433600,0.26782432198524475
1695843071.4000278,1446400,0.3723638653755188
1695843623.4018877,1459200,0.32666051387786865
1695844145.7150936,1472000,0.26827847957611084
1695844655.0271013,1484800,0.3798859417438507
1695845155.9451137,1497600,0.4405442774295807
1695845649.3274884,1510400,0.39958634972572327
1695846183.281063,1523200,0.2810010612010956
1695846754.4688287,1536000,0.4141446352005005
1695847310.1602979,1548800,0.4653811752796173
1695847834.6287374,1561600,0.368856281042099
1695848389.0301478,1574400,0.2733217179775238
1695848962.3040197,1587200,0.5180158019065857
1695849479.3936732,1600000,0.45740994811058044
1695849991.8408003,1612800,0.453828901052475
1695850524.991336,1625600,0.5022611021995544
