Wall time,Step,Value
1695195376,12800,-0.623360574
1695195731,25600,-0.613782108
1695196089,38400,-0.605656266
1695196455,51200,-0.602793276
1695196821,64000,-0.608506918
1695197192,76800,-0.621951342
1695197563,89600,-0.597541988
1695197938,102400,-0.575039148
1695198299,115200,-0.576625228
1695198670,128000,-0.592000186
1695199033,140800,-0.550042152
1695199390,153600,-0.567043424
1695199730,166400,-0.559891284
1695200083,179200,-0.559788108
1695200441,192000,-0.564216316
1695200791,204800,-0.535084009
1695201113,217600,-0.537577152
1695201438,230400,-0.516109765
1695201767,243200,-0.480691284
1695202090,256000,-0.523259699
1695202415,268800,-0.501664639
1695202731,281600,-0.53829354
1695203046,294400,-0.438274652
1695203347,307200,-0.43477869
1695203651,320000,-0.496406764
1695203974,332800,-0.425046891
1695204282,345600,-0.481238872
1695204589,358400,-0.345425069
1695204887,371200,-0.456014633
1695205202,384000,-0.401840061
1695205503,396800,-0.429987252
1695205807,409600,-0.467301518
1695206115,422400,-0.474059433
1695206429,435200,-0.420327604
1695206733,448000,-0.460754275
1695207044,460800,-0.408886462
1695207358,473600,-0.444812268
1695207667,486400,-0.452289075
1695207982,499200,-0.434289902
1695208287,512000,-0.404449254
1695208590,524800,-0.397792041
1695208903,537600,-0.427861512
1695209217,550400,-0.409264952
1695209526,563200,-0.442338914
1695209829,576000,-0.419102639
1695210126,588800,-0.387413889
1695210434,601600,-0.35141772
1695210742,614400,-0.349134922
1695211051,627200,-0.385435939
1695211363,640000,-0.396187961
1695211683,652800,-0.31847772
1695211987,665600,-0.248755753
1695212286,678400,-0.340191066
1695212601,691200,-0.303737998
1695212911,704000,-0.298206806
1695213215,716800,-0.34111619
1695213529,729600,-0.21666953
1695213834,742400,-0.244204104
1695214142,755200,-0.244461745
1695214446,768000,-0.275251299
1695214756,780800,-0.22711131
1695215064,793600,-0.347614408
1695215387,806400,-0.347250909
1695215696,819200,-0.188486114
1695216005,832000,-0.171747804
1695216314,844800,-0.208259627
1695216617,857600,-0.203549415
1695216928,870400,-0.192442864
1695217236,883200,-0.235067636
1695217547,896000,-0.173514694
1695217854,908800,-0.242305264
1695218164,921600,-0.157864273
1695218477,934400,-0.197244704
1695218796,947200,-0.106551871
1695219114,960000,-0.079311572
1695219421,972800,-0.158731237
1695219732,985600,-0.047806051
1695220035,998400,0.00351151
1695220337,1011200,-0.09851025
1695220642,1024000,-0.095815763
1695220950,1036800,-0.06631881
1695221252,1049600,0.06211694
1695221552,1062400,0.00199668
1695221856,1075200,0.062533922
1695222154,1088000,0.052217569
1695222454,1100800,-0.107622817
1695222755,1113600,-0.143537566
1695223069,1126400,0.00464629
1695223374,1139200,0.121194318
1695223668,1152000,0.00096837
1695223978,1164800,0.065269932
1695224274,1177600,0.177286997
1695224572,1190400,0.337636948
1695224862,1203200,0.096646577
1695225171,1216000,0.125390172
1695225479,1228800,0.153002143
1695225777,1241600,0.222596243
1695226074,1254400,0.148673326
1695226379,1267200,0.256436765
1695226655,1280000,0.223672211
1695226953,1292800,0.219032258
1695227248,1305600,0.208809018
1695227525,1318400,0.357728899
1695227813,1331200,0.247173786
1695228107,1344000,0.404174209
1695228381,1356800,0.30886367
1695228694,1369600,0.478561044
1695228981,1382400,0.370247662
1695229272,1395200,0.496405154
1695229547,1408000,0.410680264
1695229825,1420800,0.386708409
1695230115,1433600,0.290975094
1695230398,1446400,0.416962922
1695230686,1459200,0.685787737
1695230951,1472000,0.449267209
1695231233,1484800,0.26349628
1695231519,1497600,0.330069691
1695231798,1510400,0.147859693
1695232080,1523200,0.65205574
1695232351,1536000,0.718500912
1695232621,1548800,0.394591957
1695232905,1561600,0.62723577
1695233187,1574400,0.173989981
1695233478,1587200,0.585675061
1695233753,1600000,0.606346846
1695234022,1612800,0.713208318
1695234279,1625600,0.691031396
1695234539,1638400,0.588975668
1695234819,1651200,0.685637116
1695235081,1664000,0.701042175
1695235340,1676800,0.754294693
1695235604,1689600,0.672110021
1695235877,1702400,0.787239373
1695236137,1715200,0.803986967
1695236401,1728000,0.571552098
1695236674,1740800,0.974750996
1695236949,1753600,0.831357062
1695237220,1766400,0.491668701
1695237504,1779200,0.753825903
1695237776,1792000,0.883461893
1695238036,1804800,0.624112189
1695238306,1817600,0.682340443
1695238577,1830400,0.90776962
1695238850,1843200,0.997505724
1695239114,1856000,0.883811951
1695239388,1868800,0.790412307
1695239655,1881600,0.60613215
1695239934,1894400,0.860632837
1695240205,1907200,0.830186903
1695240474,1920000,1.17211628
1695240743,1932800,1.117034674
1695241005,1945600,0.9985587
1695241277,1958400,0.964288592
1695241550,1971200,0.982299745
1695241815,1984000,1.132223248
1695242082,1996800,1.15017736
1695242348,2009600,0.998678684
1695242616,2022400,1.156219244
1695242889,2035200,1.239675641
1695243163,2048000,0.938734531
1695243453,2060800,1.164486408
1695243738,2073600,0.938836098
1695244029,2086400,1.121323943
1695244314,2099200,1.211064458
1695244597,2112000,1.169011474
1695244889,2124800,1.165544629
1695245182,2137600,1.310170174
1695245463,2150400,1.160695553
1695245759,2163200,1.350344658
1695246050,2176000,1.073542356
1695246347,2188800,1.357167363
1695246642,2201600,1.344395876
1695246931,2214400,1.372134924
1695247217,2227200,1.22860384
1695247513,2240000,1.223901391
1695247807,2252800,1.494143486
1695248085,2265600,1.241935849
1695248375,2278400,1.75615418
1695248657,2291200,1.741473436
1695248940,2304000,1.503638625
1695249233,2316800,1.419999242
1695249529,2329600,1.607637525
1695249818,2342400,1.395119071
1695250128,2355200,1.582455397
1695250429,2368000,1.699845433
1695250715,2380800,1.506263614
1695251004,2393600,1.542572379
1695251299,2406400,1.295147181
1695251594,2419200,1.410058022
1695251894,2432000,1.477184892
1695252201,2444800,1.314319372
1695252504,2457600,1.486230731
1695252796,2470400,1.534331918
1695253086,2483200,1.906154275
1695253363,2496000,1.838023663
1695253642,2508800,1.694226265
1695253944,2521600,1.567622781
1695254237,2534400,1.731949091
1695254521,2547200,1.928385854
1695254805,2560000,1.877586603
1695255103,2572800,1.849822521
1695255370,2585600,2.088540077
1695255646,2598400,1.677801609
1695255937,2611200,1.757229805
1695256251,2624000,1.622147441
1695256544,2636800,1.9453578
1695256814,2649600,1.793671489
1695257085,2662400,1.641066074
1695257397,2675200,1.678416252
1695257693,2688000,1.711305618
1695257985,2700800,1.668905497
1695258271,2713600,1.598711491
1695258560,2726400,1.725104094
1695258847,2739200,1.853102803
1695259132,2752000,1.667261004
1695259415,2764800,2.245272398
1695259674,2777600,1.904071331
1695259947,2790400,2.023096561
1695260222,2803200,1.987054348
1695260504,2816000,1.767635703
1695260799,2828800,1.876065731
1695261085,2841600,2.094775677
1695261367,2854400,2.019344568
1695261656,2867200,2.000816107
1695261951,2880000,1.813023448
1695262261,2892800,1.778288007
1695262551,2905600,2.129359961
1695262803,2918400,2.098894596
1695263060,2931200,2.323737383
1695263306,2944000,2.053106785
1695263560,2956800,2.072384119
1695263818,2969600,2.28515029
1695264070,2982400,2.239836931
1695264325,2995200,2.441506863
1695264584,3008000,2.533056498
1695264836,3020800,2.573619604
1695265085,3033600,2.500556707
1695265337,3046400,1.881095052
1695265597,3059200,2.2371521
1695265856,3072000,2.616740227
1695266108,3084800,2.6269629
1695266362,3097600,2.583139896
1695266613,3110400,2.493837357
1695266864,3123200,2.535863638
1695267113,3136000,2.619668722
1695267358,3148800,2.743605614
1695267601,3161600,2.781454325
1695267842,3174400,2.404242516
1695268085,3187200,2.442689657
1695268325,3200000,2.604214191
1695268563,3212800,2.803118229
1695268804,3225600,2.733739853
1695269045,3238400,2.406787634
1695269287,3251200,2.586273193
1695269521,3264000,2.663110971
1695269757,3276800,2.753382921
1695269994,3289600,2.538402081
1695270224,3302400,2.65288806
1695270460,3315200,2.579238415
1695270700,3328000,2.6537292
1695270940,3340800,2.694485188
1695271173,3353600,2.785614729
1695271411,3366400,2.569559574
1695271646,3379200,2.747688532
1695271882,3392000,2.611701012
1695272119,3404800,2.691769838
1695272362,3417600,2.771972656
1695272599,3430400,2.781582355
1695272838,3443200,3.073768854
1695273078,3456000,2.672955036
1695273320,3468800,2.751499891
1695273559,3481600,2.684308052
1695273792,3494400,2.950255871
1695274032,3507200,3.05753088
1695274274,3520000,2.819494247
1695274520,3532800,2.845184326
1695274766,3545600,2.709457159
1695275013,3558400,2.92998147
1695275250,3571200,2.998013258
1695275489,3584000,2.670762777
1695275729,3596800,2.742840528
1695275970,3609600,2.78836894
1695276208,3622400,2.836206436
1695276446,3635200,2.895154715
1695276680,3648000,2.846651793
1695276920,3660800,2.783103704
1695277157,3673600,2.596326113
1695277396,3686400,2.990888119
1695277634,3699200,2.889784098
1695277879,3712000,2.803707838
1695278118,3724800,2.970797062
1695278358,3737600,2.854546547
1695278596,3750400,2.938553333
1695278841,3763200,3.100695848
1695279079,3776000,2.881435156
1695279319,3788800,2.686392307
1695279556,3801600,3.076922178
1695279791,3814400,2.855013847
1695280017,3827200,2.903188705
1695280238,3840000,3.087417841
1695280460,3852800,3.14131856
1695280681,3865600,3.040524006
1695280907,3878400,2.883294582
1695281131,3891200,2.659512997
1695281362,3904000,2.906864166
1695281586,3916800,2.690121651
1695281816,3929600,2.725111485
1695282041,3942400,2.987660885
1695282266,3955200,2.816455841
1695282493,3968000,3.049483538
1695282719,3980800,2.741633892
1695282944,3993600,2.69052124
1695283174,4006400,2.858545456
1695421446,4019200,3.004751377
1695421906,4032000,3.154559193
1695422359,4044800,3.255422726
1695422840,4057600,3.318731785
1695423270,4070400,3.450280666
1695423700,4083200,3.259547234
1695424145,4096000,3.286632299
1695424544,4108800,3.375870466
1695424981,4121600,3.388614416
1695425408,4134400,3.265222788
1695425818,4147200,3.187928677
1695426263,4160000,3.193695307
1695426691,4172800,3.395047426
1695427100,4185600,3.241795301
1695427530,4198400,3.337519884
1695427966,4211200,3.351748705
1695428385,4224000,3.28967309
1695428802,4236800,3.357647419
1695429240,4249600,3.441462517
1695429683,4262400,3.380320787
1695430108,4275200,3.134567022
1695430533,4288000,3.35182786
1695430965,4300800,3.285164118
1695431396,4313600,3.344741821
1695431835,4326400,3.258671999
1695432266,4339200,3.328798771
1695432681,4352000,3.31439209
1695433104,4364800,3.565715313
1695433538,4377600,3.448646784
1695433982,4390400,3.17334795
1695434440,4403200,3.363259315
1695434876,4416000,3.644502878
1695435302,4428800,3.56361413
1695435747,4441600,3.289546013
1695436205,4454400,3.105778217
1695436643,4467200,3.549361467
1695437086,4480000,3.623513937
1695437543,4492800,3.581233025
1695438004,4505600,3.28057766
1695438479,4518400,3.112559557
1695438957,4531200,3.134166241
1695439455,4544000,3.254328728
1695439945,4556800,3.467806339
1695440436,4569600,3.444384098
1695440886,4582400,3.38546586
1695441365,4595200,3.310127497
1695441843,4608000,3.384922028
1695442310,4620800,3.55870533
1695442791,4633600,3.321327448
1695443285,4646400,3.296952009
1695443773,4659200,3.093270302
1695444252,4672000,3.227829933
1695444729,4684800,3.32317543
1695445217,4697600,3.046013594
1695445696,4710400,3.250746489
1695446169,4723200,3.482751369
1695446651,4736000,3.231332302
1695447153,4748800,3.418615341
1695447653,4761600,3.490148306
1695448146,4774400,3.324702263
1695448631,4787200,3.252180576
1695449115,4800000,3.144373417
1695449600,4812800,3.010999918
1695450079,4825600,3.216384172
1695450558,4838400,3.149846792
1695451038,4851200,3.531620264
1695451522,4864000,3.435615778
1695452026,4876800,3.396149635
1695452521,4889600,3.253264666
1695453018,4902400,3.363428831
1695453510,4915200,3.592972755
1695453988,4928000,3.560403109
1695454465,4940800,3.419826746
1695454946,4953600,3.503445625
1695455432,4966400,3.458004236
1695455925,4979200,3.544959784
1695456420,4992000,3.381482363
1695456906,5004800,3.683514595
1695457373,5017600,3.611849785
1695457842,5030400,3.57724762
1695458318,5043200,3.288544416
1695458802,5056000,3.42671752
1695459296,5068800,3.486962795
1695459796,5081600,3.508983612
1695460282,5094400,3.318267345
1695460751,5107200,3.492644787
1695461220,5120000,3.601546764
1695461706,5132800,3.657020807
1695462193,5145600,3.571565151
1695462683,5158400,3.59023428
1695463183,5171200,3.639523983
1695463669,5184000,3.062138557
1695464165,5196800,3.481699467
1695464639,5209600,3.464338303
1695465133,5222400,3.339518309
1695465625,5235200,3.607043266
1695466104,5248000,3.611040354
1695466590,5260800,3.799200773
1695467076,5273600,3.627892733
1695467569,5286400,3.45784831
1695468042,5299200,3.568302155
1695468517,5312000,3.335482836
1695469009,5324800,3.44965291
1695469492,5337600,3.2372365
1695469981,5350400,3.513016939
1695470465,5363200,3.348500729
1695470970,5376000,3.565467119
1695471466,5388800,3.521062374
1695471938,5401600,3.446513653
1695472418,5414400,3.637450933
1695472893,5427200,3.661179543
1695473378,5440000,3.849360704
1695473864,5452800,3.726267338
1695474362,5465600,3.505298853
1695474866,5478400,3.545850515
1695475343,5491200,3.275540352
1695475820,5504000,3.394203663
1695476298,5516800,3.560386419
1695476782,5529600,3.539618015
1695477277,5542400,3.422279835
1695477778,5555200,3.551445723
1695478306,5568000,3.469421387
1695478819,5580800,3.479067087
1695479346,5593600,3.310235262
1695479895,5606400,3.35204339
1695480424,5619200,3.55923748
1695480936,5632000,3.679415226
1695481441,5644800,3.735542774
1695481934,5657600,3.453551769
1695482463,5670400,3.475521564
1695482982,5683200,3.687758207
1695483489,5696000,3.594876051
1695483997,5708800,3.716381073
1695484505,5721600,3.520577192
1695485044,5734400,3.376675367
1695485560,5747200,3.726967335
1695486041,5760000,3.599217653
1695486531,5772800,3.586745739
1695487026,5785600,3.491837025
1695487525,5798400,3.791693687
1695488019,5811200,3.694456816
1695488513,5824000,3.592448711
1695488991,5836800,3.762537003
1695489478,5849600,3.391837358
1695490008,5862400,3.453929424
1695490502,5875200,3.46100831
1695490994,5888000,3.756139517
1695491466,5900800,3.535344839
1695491950,5913600,3.506621599
1695492445,5926400,3.709191561
1695492935,5939200,3.775495768
1695493401,5952000,3.581197262
1695493854,5964800,3.478740931
1695494316,5977600,3.760163784
1695494779,5990400,3.864504337
1695495250,6003200,3.659280062
1695495742,6016000,3.691153288
1695496239,6028800,3.682941437
1695496719,6041600,3.528314829
1695497185,6054400,3.694804668
1695497663,6067200,4.019385815
1695498126,6080000,3.618797064
1695498605,6092800,3.699075699
1695499082,6105600,3.57978344
1695499583,6118400,3.574251413
1695500067,6131200,3.675836325
1695500545,6144000,3.602170467
1695501027,6156800,3.858467579
1695501492,6169600,3.814320326
1695501962,6182400,3.67883563
1695502436,6195200,3.833427906
1695502906,6208000,3.631902456
1695503368,6220800,3.776249647
1695503853,6233600,3.730725288
1695504330,6246400,3.681025743
1695504806,6259200,3.756019831
1695505276,6272000,3.609990597
1695505744,6284800,3.875357628
1695506205,6297600,3.819358826
1695506670,6310400,3.721320152
1695507140,6323200,3.778622866
1695507600,6336000,3.798615456
1695508069,6348800,3.529012442
1695508532,6361600,3.742985964
1695508996,6374400,3.734906912
1695509450,6387200,3.728045464
1695509920,6400000,3.865358591
1695510420,6412800,3.737437963
1695510929,6425600,3.857868671
1695511445,6438400,3.813296795
1695511976,6451200,3.706879139
1695512437,6464000,3.952504158
1695512881,6476800,3.872136116
1695513354,6489600,3.84723258
1695513816,6502400,3.727811813
1695514274,6515200,3.749042988
1695514736,6528000,3.697168112
1695515194,6540800,3.777173996
1695515655,6553600,3.796564817
1695516108,6566400,3.610203266
1695516558,6579200,3.646504641
1695517011,6592000,3.861334801
1695517475,6604800,3.792764902
1695517935,6617600,3.884031773
1695518377,6630400,3.846790314
1695518817,6643200,3.765781879
1695519268,6656000,3.655087709
1695519733,6668800,3.804171801
1695520186,6681600,3.588337183
1695520646,6694400,3.718225956
1695521112,6707200,3.616491556
1695521581,6720000,3.738356352
1695522043,6732800,3.945263386
1695522477,6745600,3.761350155
1695522905,6758400,3.666390181
1695523343,6771200,3.920686722
1695523777,6784000,3.688687563
1695524221,6796800,3.669717073
1695524661,6809600,3.825821877
1695525114,6822400,3.905658484
1695525557,6835200,3.79942441
1695525999,6848000,3.924730778
1695526438,6860800,3.956918955
1695526903,6873600,3.902856588
1695527320,6886400,3.827233553
1695527788,6899200,3.680659771
