Wall time,Step,Value
1689732655.4076095,25600,-0.7978655099868774
1689733959.715873,51200,-0.7812746167182922
1689735282.2834165,76800,-0.7997713088989258
1689736592.6386926,102400,-0.7801463007926941
1689737913.423768,128000,-0.8103379607200623
1689739270.242092,153600,-0.8231095671653748
1689740470.41217,179200,-0.8185836672782898
1689741680.6943445,204800,-0.8543645739555359
1689743045.706194,230400,-0.8835493922233582
1689744403.1101892,256000,-0.9153121113777161
1689745730.3877015,281600,-0.9600333571434021
1689746866.3117323,307200,-0.9624190926551819
1689747851.507635,332800,-1.0297871828079224
1689748791.004707,358400,-0.9662778377532959
1689749705.3200197,384000,-1.0203986167907715
1689750607.4101741,409600,-1.0411945581436157
1689751457.1981921,435200,-1.0134892463684082
1689752350.0106509,460800,-0.9999887943267822
1689753236.0904198,486400,-0.9320290684700012
1689754076.4008486,512000,-0.9839863181114197
1689754893.0660887,537600,-0.9742974042892456
1689755709.1071324,563200,-0.9761806130409241
1689756486.0059052,588800,-1.0203194618225098
1689757307.3094811,614400,-0.9817147850990295
1689758104.7375622,640000,-0.9482856392860413
1689758885.6572852,665600,-0.9327499866485596
1689759681.8025525,691200,-0.8960684537887573
1689760499.2275696,716800,-0.8848530054092407
1689761299.2368634,742400,-0.9332711696624756
1689762063.694327,768000,-0.9476478099822998
1689762829.672988,793600,-0.8787112832069397
1689763596.481037,819200,-0.8539407253265381
1689764368.9812493,844800,-0.8460559844970703
1689765149.9487233,870400,-0.8489711880683899
1689765939.487929,896000,-0.8387534022331238
1689766711.8553967,921600,-0.8375094532966614
1689767480.05567,947200,-0.8314799070358276
1689768256.4857795,972800,-0.7968753576278687
1689769031.5522587,998400,-0.790941596031189
1689769810.8285608,1024000,-0.7450567483901978
1689770617.2848155,1049600,-0.7467963695526123
1689771393.4971817,1075200,-0.757850170135498
1689772168.7465165,1100800,-0.7691025137901306
1689772956.3789093,1126400,-0.7609538435935974
1689773772.8131545,1152000,-0.7352291941642761
1689774573.409143,1177600,-0.6983314752578735
1689775379.2896297,1203200,-0.6988256573677063
1689776188.123659,1228800,-0.7192429900169373
1689776973.5257194,1254400,-0.6966236233711243
1689777773.3811846,1280000,-0.6826931238174438
1689778639.1270218,1305600,-0.6562684178352356
1689779495.5298562,1331200,-0.6207053065299988
1689780302.2166944,1356800,-0.5978872776031494
1689781181.428212,1382400,-0.5800106525421143
1689782026.3883224,1408000,-0.5556566119194031
1689782857.1062424,1433600,-0.5370426177978516
1689783683.581571,1459200,-0.5761181712150574
1689784553.0535436,1484800,-0.5682833194732666
1689785419.047258,1510400,-0.5189066529273987
1689786294.0501575,1536000,-0.5355861783027649
1689787132.6885896,1561600,-0.5503563284873962
1689787977.3919091,1587200,-0.5049042701721191
1689788786.3608487,1612800,-0.46449244022369385
1689789634.6661637,1638400,-0.4411676526069641
1689790448.2703876,1664000,-0.4612627625465393
1689791274.0431855,1689600,-0.5282282829284668
1689792134.116567,1715200,-0.40528759360313416
1689792955.7443123,1740800,-0.3869066536426544
1689793782.362983,1766400,-0.3701492249965668
1689794601.899438,1792000,-0.36399781703948975
1689795422.8557768,1817600,-0.3583047389984131
1689796255.198879,1843200,-0.3918737769126892
1689797124.0123339,1868800,-0.2904059886932373
1689797945.8220022,1894400,-0.255115270614624
1689798830.106137,1920000,-0.24883663654327393
1689799663.2766666,1945600,-0.21465803682804108
1689800515.412947,1971200,-0.29101094603538513
1689801433.1220596,1996800,-0.2182733416557312
1689802272.5588548,2022400,-0.30692338943481445
1689803105.9898355,2048000,-0.295127272605896
1689803914.7277799,2073600,-0.21290957927703857
1689804717.3365314,2099200,-0.18951408565044403
1689805508.570855,2124800,-0.16554613411426544
1689806325.5592477,2150400,-0.14181853830814362
1689807133.0751972,2176000,-0.2832369804382324
1689807963.0016444,2201600,-0.19421187043190002
1689808842.1568868,2227200,-0.1331556737422943
1689809664.7963161,2252800,-0.1104145422577858
1689810473.4761102,2278400,-0.11558979004621506
1689811316.4585786,2304000,-0.09048867225646973
1689812206.7485008,2329600,-0.06486491113901138
1689813032.2846901,2355200,-0.025439390912652016
1689813801.9296975,2380800,0.009832429699599743
1689814489.9260414,2406400,0.0011576700489968061
1689815177.917977,2432000,0.01487560011446476
1689815853.7740228,2457600,-0.04269951954483986
1689816522.469714,2483200,-0.011186789721250534
1689817177.982872,2508800,0.05198708176612854
1689817870.2432961,2534400,0.11400338262319565
1689818533.539701,2560000,0.17023395001888275
1689819127.581836,2585600,0.22950565814971924
1689819733.9667716,2611200,0.1905568689107895
1689820385.9387522,2636800,0.08450234681367874
1689821043.8477638,2662400,0.17449267208576202
1689821645.3993475,2688000,0.20812678337097168
1689822280.3356931,2713600,0.1852901726961136
1689822943.9401824,2739200,0.2740134000778198
1689823610.7121732,2764800,0.2218928337097168
1689824285.3851802,2790400,0.13101260364055634
1689825224.429653,2816000,0.21751658618450165
1689826142.0221334,2841600,0.17959223687648773
1689827030.9423606,2867200,0.214503675699234
1689827915.1454053,2892800,0.4201644957065582
1689828758.2487006,2918400,0.4836519956588745
1689829611.281761,2944000,0.519324004650116
1689830431.2573926,2969600,0.5824110507965088
1689831295.3690655,2995200,0.5829023122787476
1689831975.191671,3020800,0.42405274510383606
1689832521.249987,3046400,0.3747580051422119
1689833239.1907768,3072000,0.5491682887077332
1689833976.2973826,3097600,0.6522911787033081
1689834616.7415228,3123200,0.4791994094848633
1689835324.046762,3148800,0.5830671191215515
1689836016.678206,3174400,0.6511344909667969
1689836641.9665124,3200000,0.781591534614563
1689837203.2874527,3225600,0.667529821395874
1689837868.9491127,3251200,0.618866503238678
1689838558.8656652,3276800,0.7950398921966553
1689839192.5218756,3302400,0.709998607635498
1689839855.9112728,3328000,0.8680825233459473
1689840444.0113459,3353600,1.0572460889816284
1689841100.8172317,3379200,1.0826337337493896
1689841764.1649756,3404800,1.0367074012756348
1689842381.5801983,3430400,1.0760606527328491
1689843001.665149,3456000,1.1129493713378906
1689843622.2756755,3481600,1.131615161895752
1689844143.43003,3507200,1.181917667388916
1689844711.188683,3532800,1.2804075479507446
1689845263.328387,3558400,1.3130186796188354
1689845773.292914,3584000,1.3817460536956787
1689846344.5751028,3609600,1.0474963188171387
1689846906.0469532,3635200,1.090740442276001
1689847447.4137313,3660800,1.1188477277755737
1689848053.2172265,3686400,1.0706690549850464
1689848619.0382736,3712000,1.349195957183838
1689849155.068349,3737600,1.3131452798843384
1689849759.5218813,3763200,1.2964848279953003
1689850346.8452876,3788800,1.5044344663619995
1689850890.8378422,3814400,1.6226081848144531
1689851486.0525134,3840000,1.5295777320861816
1689852030.222612,3865600,0.9176810383796692
1689852617.0066192,3891200,1.4192759990692139
1689853206.8867269,3916800,0.8241317868232727
1689853780.7384741,3942400,0.8349368572235107
1689854395.8333957,3968000,0.7716843485832214
1689855020.518963,3993600,0.8593201041221619
1689855611.6571507,4019200,1.0797308683395386
1689856212.191781,4044800,1.7251065969467163
1689856789.6430314,4070400,1.610701322555542
1689857340.3084912,4096000,1.7772119045257568
1689857925.430563,4121600,1.9080963134765625
1689858481.7625022,4147200,2.172489643096924
1689859007.6526673,4172800,2.0121588706970215
1689859603.285213,4198400,1.6775944232940674
1689860127.4366064,4224000,1.5431082248687744
1689860691.8039212,4249600,1.5544236898422241
1689861230.3107991,4275200,1.5712083578109741
1689861769.227514,4300800,1.6871360540390015
1689862343.245398,4326400,1.9423274993896484
1689862863.1098056,4352000,1.9970831871032715
1689863459.8748462,4377600,2.173119068145752
1689864021.4627454,4403200,2.0303735733032227
1689864650.5725214,4428800,1.486595630645752
1689865289.235868,4454400,1.2636919021606445
1689865890.7440853,4480000,2.0414085388183594
1689866508.6183252,4505600,1.7542777061462402
1689867095.6559691,4531200,1.8877761363983154
1689867690.8215413,4556800,2.06866717338562
1689868332.257283,4582400,1.9212207794189453
1689868935.4930809,4608000,2.0425891876220703
1689869579.2853115,4633600,1.8561735153198242
1689870215.69371,4659200,1.9010156393051147
1689870854.523054,4684800,1.1159886121749878
1689871561.7977247,4710400,1.7498276233673096
1689872240.6322997,4736000,1.5021352767944336
1689872937.005499,4761600,1.6171460151672363
1689873665.9265673,4787200,2.1843245029449463
1689874267.6225262,4812800,2.414698839187622
1689874929.9937856,4838400,2.2398202419281006
1689875509.3871503,4864000,2.3000051975250244
1689876063.5991547,4889600,2.5391476154327393
1689876683.4559388,4915200,2.150667428970337
1689877275.436936,4940800,1.9399642944335938
1689877945.2657728,4966400,1.9886761903762817
1689878559.8050292,4992000,2.1690871715545654
1689879158.2981803,5017600,1.4226562976837158
1689879766.279817,5043200,2.0009801387786865
1689881745.1274068,5068800,1.5171722173690796
1689882297.0476513,5094400,1.6796234846115112
1689882818.730236,5120000,1.8817132711410522
1689883420.0728502,5145600,2.1954143047332764
1689884031.0469668,5171200,2.4419381618499756
1689884613.2034938,5196800,2.534090995788574
1689885283.5231493,5222400,2.62503981590271
1689885912.9086354,5248000,2.4969985485076904
1689886625.568139,5273600,2.6972851753234863
1689887953.4186947,5299200,2.5478928089141846
1689888648.6578434,5324800,2.608295202255249
1689889512.136756,5350400,2.187622308731079
1689890261.9911718,5376000,2.6168875694274902
1689891081.553854,5401600,2.2161777019500732
1689891957.9301076,5427200,2.2554373741149902
1689893180.307396,5452800,2.0268797874450684
1689894327.0808864,5478400,2.1303346157073975
1689895125.6312983,5504000,2.4743752479553223
1689895913.6191483,5529600,2.1209511756896973
1689896754.2088692,5555200,2.201148748397827
1689897596.225589,5580800,2.267270088195801
1689898435.431939,5606400,2.096917152404785
1689899284.508831,5632000,2.37711501121521
1689900171.3969433,5657600,2.197051525115967
1689902085.957084,5683200,2.4775636196136475
1689902804.080893,5708800,2.5542256832122803
1689903607.9194922,5734400,2.6526236534118652
1689904386.881351,5760000,2.6668243408203125
